キャリア適性診断
decision

設問ID,最終フラグ,設問文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,遷移先1,遷移先2,遷移先3,遷移先4,遷移先5
1,0,あなたはどのような環境で働くのが好きですか？,チームで協力,一人で集中,人と接する,,,2,3,4,,
2,0,チームワークで重視することは？,目標達成,メンバー成長,プロセス改善,,,5,6,7,,
3,0,集中作業で取り組みたい内容は？,技術・専門分野,クリエイティブ,データ分析,,,8,9,10,,
4,0,人との関わりでやりがいを感じるのは？,相談・カウンセリング,教育・指導,営業・接客,,,11,12,13,,
5,0,目標達成のために重視するのは？,効率的な計画,チーム連携,結果重視,,,14,15,16,,
6,0,メンバー成長で大切にするのは？,個別指導,チーム全体,長期的視点,,,17,18,19,,
7,0,プロセス改善で重視するのは？,システム化,品質向上,コスト削減,,,20,21,22,,
8,0,技術・専門分野での強みは？,深い知識,実践応用,問題解決,,,23,24,25,,
9,0,クリエイティブ作業で重視するのは？,独創性,美的センス,実用性,,,26,27,28,,
10,0,データ分析で大切にするのは？,正確性,洞察力,活用提案,,,29,30,31,,
11,0,相談・カウンセリングでの強みは？,傾聴力,共感力,問題解決力,,,32,33,34,,
12,0,教育・指導で重視するのは？,知識伝達,成長支援,モチベーション向上,,,35,36,37,,
13,1,営業・接客での強みは？,コミュニケーション,提案力,信頼関係構築,,,38,39,40,,
14,1,効率的な計画を立てる際に重視するのは？,論理性,実現可能性,リスク管理,,,1,41,42,,
15,1,チーム連携で大切にするのは？,情報共有,役割分担,相互支援,,,43,44,45,,
16,1,結果重視の仕事で大切なのは？,数値目標,品質基準,顧客満足,,,46,47,48,,
17,1,個別指導でのアプローチは？,個性重視,段階的指導,実践重視,,,2,49,50,,
18,1,チーム全体の成長で重視するのは？,協調性,多様性,チャレンジ精神,,,51,52,53,,
19,1,長期的視点での育成で大切なのは？,将来性,継続性,専門性,,,54,55,56,,
20,1,システム化で重視するのは？,効率性,標準化,自動化,,,3,57,58,,
21,1,品質向上で大切にするのは？,精度,安定性,継続改善,,,4,59,60,,
22,1,コスト削減で重視するのは？,効率化,無駄削減,投資対効果,,,61,62,63,,
23,1,深い知識を活かす場面は？,研究開発,専門相談,技術指導,,,64,65,66,,
24,1,実践応用で重視するのは？,現場適用,成果創出,改善提案,,,67,68,69,,
25,1,問題解決での強みは？,論理思考,創造性,実行力,,,70,71,72,,
26,1,独創性を発揮する領域は？,新規企画,デザイン,アイデア創出,,,73,74,75,,
27,1,美的センスを活かすのは？,デザイン,表現,空間演出,,,76,77,78,,
28,1,実用性重視のクリエイティブは？,UI/UX,商品開発,広告制作,,,79,80,81,,
29,1,正確性を重視する分析は？,統計解析,品質管理,監査業務,,,82,83,84,,
30,1,洞察力を活かす分析は？,市場調査,行動分析,トレンド予測,,,85,86,87,,
31,1,活用提案で重視するのは？,実装可能性,効果測定,継続改善,,,88,89,90,,
32,1,傾聴力を活かす場面は？,カウンセリング,インタビュー,相談業務,,,5,91,92,,
33,1,共感力を重視する相談は？,メンタルケア,人間関係,キャリア支援,,,93,94,95,,
34,1,問題解決力を活かす相談は？,業務改善,conflict解決,意思決定支援,,,96,97,98,,
35,1,知識伝達で重視するのは？,体系化,分かりやすさ,実践との結合,,,99,100,101,,
36,1,成長支援で大切にするのは？,個別対応,目標設定,フィードバック,,,102,103,104,,
37,1,モチベーション向上の方法は？,達成感,自主性,チャレンジ,,,105,106,107,,,

診断結果ID,ポイント下限,ポイント上限,表示文章
1,,,あなたは戦略的リーダー型です。論理的思考で効率的な計画を立て、チームを目標達成に導くことが得意です。経営企画や事業統括のポジションに向いています。
2,,,あなたは個性重視の育成型です。一人ひとりの特性を理解し、個別指導を通じてメンバーの成長を支援することが得意です。人事や教育関連のポジションに向いています。
3,,,あなたはシステム志向の技術者型です。効率化とプロセス改善を追求し、技術的な問題解決を得意とします。ITエンジニアやシステムコンサルタントに向いています。
4,,,あなたは品質重視の職人型です。精度と安定性を追求し、継続的な改善を通じて高品質な成果を生み出すことが得意です。品質管理や製造技術のポジションに向いています。
5,,,あなたは傾聴型カウンセラーです。相手の話をじっくりと聞き、心に寄り添うサポートを提供することが得意です。カウンセリングや相談業務に向いています。
6,,,あなたはコミュニケーション重視の接客型です。信頼関係を築き、相手のニーズに応える提案をすることが得意です。営業や顧客サービスのポジションに向いています。
38,,,あなたは対話力重視の営業型です。コミュニケーション能力を活かし、顧客との関係構築を得意とします。法人営業や接客サービスに向いています。
39,,,あなたは提案型営業です。相手のニーズを分析し、最適なソリューションを提案することが得意です。コンサルティングや企画営業に向いています。
40,,,あなたは信頼構築型営業です。長期的な関係を重視し、顧客の信頼を得ることを得意とします。アカウント営業や顧客管理に向いています。
41,,,あなたは実現可能性重視の計画型です。リスクを考慮した現実的な計画を立てることが得意です。プロジェクトマネージャーや事業企画に向いています。
42,,,あなたはリスク管理型の戦略家です。潜在的なリスクを予測し、安全な計画を立てることが得意です。リスク管理や監査業務に向いています。
43,,,あなたは情報共有重視のコーディネーター型です。チーム内の情報流通を円滑にし、連携を促進することが得意です。プロジェクトコーディネーターに向いています。
44,,,あなたは役割分担型のオーガナイザーです。適材適所でチームを組織し、効率的な体制を構築することが得意です。チームリーダーや管理職に向いています。
45,,,あなたは相互支援型のサポーターです。チームメンバーを支え合い、協力的な環境を作ることが得意です。人事や総務のポジションに向いています。
46,,,あなたは数値目標達成型です。明確な数値目標に向けて着実に成果を出すことが得意です。営業や経営管理のポジションに向いています。
47,,,あなたは品質基準重視型です。高い品質基準を維持し、安定した成果を提供することが得意です。品質保証や製造管理に向いています。
48,,,あなたは顧客満足追求型です。顧客の期待を上回るサービスを提供することが得意です。カスタマーサクセスや営業に向いています。
49,,,あなたは段階的指導型の教育者です。学習者のレベルに応じて段階的に指導することが得意です。研修講師や教育担当に向いています。
50,,,あなたは実践重視の指導者です。実際の業務を通じた指導を得意とします。OJT担当や現場指導者に向いています。
51,,,あなたは協調性重視のチームビルダーです。チーム内の協調性を高め、調和のとれた組織を作ることが得意です。人事や組織開発に向いています。
52,,,あなたは多様性推進型のマネージャーです。多様な価値観やスキルを活かしたチーム運営が得意です。ダイバーシティ推進や国際部門に向いています。
53,,,あなたはチャレンジ精神育成型です。メンバーの挑戦意欲を引き出し、成長を促進することが得意です。新規事業や革新的プロジェクトに向いています。
54,,,あなたは将来性重視の人材開発者です。長期的な視点で人材の可能性を見極め、育成することが得意です。人材開発や採用担当に向いています。
55,,,あなたは継続性重視の安定志向型です。持続可能な成長と安定した組織運営を重視します。経営企画や管理部門に向いています。
56,,,あなたは専門性育成型の指導者です。専門スキルの向上と深化を重視した育成が得意です。技術指導や専門職の育成に向いています。
57,,,あなたは標準化推進型のシステマーです。業務の標準化とシステム化を通じて効率化を図ることが得意です。業務改善やシステム企画に向いています。
58,,,あなたは自動化志向のイノベーターです。自動化とデジタル化を通じて革新的な改善を実現することが得意です。DXやテクノロジー活用に向いています。
59,,,あなたは安定性重視の品質管理者です。安定した品質を維持し、信頼性の高いサービスを提供することが得意です。品質管理や運用保守に向いています。
60,,,あなたは継続改善型の改革者です。小さな改善を積み重ねて大きな成果を生み出すことが得意です。業務改善やカイゼン活動に向いています。
61,,,あなたは効率化追求型の合理主義者です。無駄を排除し、効率的なプロセスを構築することが得意です。業務効率化や経営管理に向いています。
62,,,あなたは無駄削減型のコストコントローラーです。コスト意識が高く、経済的な運営を実現することが得意です。財務や経営企画に向いています。
63,,,あなたは投資対効果重視の戦略家です。投資とリターンを慎重に分析し、効果的な資源配分を行うことが得意です。経営戦略や投資企画に向いています。
64,,,あなたは研究開発型の探究者です。深い専門知識を活かし、新しい技術や知見を創出することが得意です。研究開発や技術企画に向いています。
65,,,あなたは専門相談型のエキスパートです。専門知識を活かしてアドバイスや相談対応を行うことが得意です。コンサルティングや技術サポートに向いています。
66,,,あなたは技術指導型のメンターです。専門技術の指導と後進の育成を得意とします。技術教育や人材開発に向いています。
