総合パーソナリティ診断（複数カテゴリ型）
multi

設問ID,最終フラグ,カテゴリ,設問文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,遷移先1,遷移先2,遷移先3,遷移先4,遷移先5
1,0,外向性,人との交流について最も当てはまるのは？,大勢の人と過ごすのが好き,少数の親しい人と過ごすのが好き,状況に応じて使い分ける,一人の時間を重視する,,5,3,2,1,
2,0,外向性,新しい環境や初対面の人に対しては？,積極的に話しかける,相手から話しかけられるのを待つ,様子を見て判断する,できるだけ避ける,,5,2,3,1,
3,0,協調性,グループでの意見の違いが生じた時は？,積極的に議論する,相手の意見をまず聞く,中立的な立場を取る,対立を避ける,,3,5,2,1,
4,0,協調性,他者との関係性で重視するのは？,Win-Winの関係,相手の気持ちを大切にする,公平性と正義,個人の自由を尊重,,3,5,4,1,
5,0,誠実性,計画や約束について？,必ず守る,大体守る,状況に応じて調整,柔軟に対応,,5,4,2,1,
6,0,誠実性,仕事や課題への取り組み方は？,完璧を目指す,品質を重視する,効率を重視する,最低限で良い,,5,4,3,1,
7,0,神経症的傾向,ストレスや不安に対しては？,動じない,多少気になる,結構気になる,とても気になる,,5,4,2,1,
8,0,神経症的傾向,変化や予期しない出来事に対しては？,むしろ楽しむ,普通に対応,少し不安になる,とても不安になる,,5,4,2,1,
9,0,開放性,新しいことや創造的な活動について？,とても好き,まあまあ好き,普通,あまり好きではない,,5,4,2,1,
10,1,開放性,芸術や文化的な活動に対する関心は？,とても高い,高い,普通,低い,,5,4,2,1

診断結果ID,カテゴリ,ポイント下限,ポイント上限,表示文章
1,外向性,4,5,極めて外向的です。エネルギッシュで社交的、リーダーシップを発揮し、人々を巻き込む力があります。
2,外向性,3,3,外向的です。人との交流を楽しみ、積極的にコミュニケーションを取ることができます。
3,外向性,2,2,バランス型です。状況に応じて外向的にも内向的にもなれる柔軟性があります。
4,外向性,1,1,内向的です。深く考える時間を大切にし、少数の深い関係を好みます。
5,外向性,0,0,極めて内向的です。独立性が高く、内省的で、一人の時間を最も大切にします。
6,協調性,4,5,極めて協調的です。他者への共感力が高く、調和を重視し、チームワークを大切にします。
7,協調性,3,3,協調的です。他者との関係を大切にし、Win-Winの関係構築が得意です。
8,協調性,2,2,バランス型です。協調性と競争心のバランスが取れています。
9,協調性,1,1,競争的です。自分の意見をしっかり持ち、目標達成を重視します。
10,協調性,0,0,極めて競争的です。独立心が強く、自分の道を貫く強さがあります。
11,誠実性,4,5,極めて誠実です。責任感が強く、計画性があり、約束を必ず守る信頼できる人です。
12,誠実性,3,3,誠実です。責任感があり、計画的に物事を進めることができます。
13,誠実性,2,2,バランス型です。計画性と柔軟性のバランスが取れています。
14,誠実性,1,1,柔軟性重視です。状況に応じて臨機応変に対応することができます。
15,誠実性,0,0,極めて柔軟です。変化を恐れず、創造性と自由度を最も重視します。
16,神経症的傾向,4,5,神経質な傾向があります。感受性が豊かで、細かいことにも気づく繊細さがあります。
17,神経症的傾向,3,3,やや神経質です。ストレスを感じやすいですが、それが慎重さにつながります。
18,神経症的傾向,2,2,バランス型です。ストレスへの対処と冷静さのバランスが取れています。
19,神経症的傾向,1,1,安定しています。ストレスに強く、冷静に物事を判断できます。
20,神経症的傾向,0,0,極めて安定しています。どんな状況でも動じない強い精神力があります。
21,開放性,4,5,極めてオープンです。創造性が豊かで、新しいアイデアや体験を積極的に求めます。
22,開放性,3,3,オープンです。新しいことに興味を持ち、創造的な活動を楽しみます。
23,開放性,2,2,バランス型です。新しいことと慣れ親しんだことのバランスが取れています。
24,開放性,1,1,保守的です。伝統的な価値観を重視し、安定した環境を好みます。
25,開放性,0,0,極めて保守的です。変化よりも安定性を重視し、確実な方法を選びます。
