ウェルネス度チェック（単一ポイント型）
single

設問ID,最終フラグ,カテゴリ,設問文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,遷移先1,遷移先2,遷移先3,遷移先4,遷移先5
1,0,ウェルネス,毎日どのくらい睡眠をとっていますか？,8時間以上,7-8時間,6-7時間,5-6時間,5時間未満,5,4,3,2,1
2,0,ウェルネス,週に何回運動していますか？,毎日（週7回）,週4-6回,週2-3回,週1回,全くしない,5,4,3,2,1
3,0,ウェルネス,バランスの取れた食事をどの程度心がけていますか？,常に意識している,大体意識している,時々意識している,あまり意識していない,全く意識していない,5,4,3,2,1
4,0,ウェルネス,ストレス管理はできていますか？,とても良くできている,大体できている,普通,あまりできていない,全くできていない,5,4,3,2,1
5,0,ウェルネス,水分補給はどの程度行っていますか？,1日2L以上,1日1.5-2L,1日1-1.5L,1日0.5-1L,1日0.5L未満,5,4,3,2,1
6,0,ウェルネス,禁煙・禁酒の状況はどうですか？,両方していない,どちらか一方のみ,たまに飲酒・喫煙,週数回飲酒・喫煙,毎日飲酒・喫煙,5,4,3,2,1
7,0,ウェルネス,定期的な健康診断を受けていますか？,年2回以上,年1回,2年に1回,数年に1回,受けていない,5,4,3,2,1
8,0,ウェルネス,メンタルヘルスの管理はできていますか？,とても良くできている,大体できている,普通,あまりできていない,全くできていない,5,4,3,2,1
9,0,ウェルネス,社会的なつながりはありますか？,とても充実している,充実している,普通,少ない,ほとんどない,5,4,3,2,1
10,1,ウェルネス,健康に関する知識をどの程度持っていますか？,とても詳しい,詳しい,普通,あまり詳しくない,全く詳しくない,5,4,3,2,1

診断結果ID,カテゴリ,ポイント下限,ポイント上限,表示文章
1,ウェルネス,45,50,素晴らしいウェルネス状態です！あなたは健康的な生活習慣が身についており、心身ともに最良の状態を維持しています。この調子で健康的なライフスタイルを継続し、さらなるウェルネス向上を目指しましょう。周りの人にも良い影響を与えることができる健康の手本です。
2,ウェルネス,35,44,良好なウェルネス状態です。多くの健康習慣が身についており、心身の健康を良く管理できています。いくつかの項目で改善の余地があるかもしれませんが、基本的な健康管理はできています。より一層の向上を目指して、弱い部分を強化していきましょう。
3,ウェルネス,25,34,平均的なウェルネス状態です。健康管理において改善すべき点がいくつかあります。生活習慣の見直しを行い、運動、食事、睡眠、ストレス管理のバランスを整えることをお勧めします。小さな変化から始めて、徐々に健康的な習慣を身につけていきましょう。
4,ウェルネス,15,24,ウェルネス状態に注意が必要です。健康管理において多くの改善点があります。生活習慣の大幅な見直しが必要です。まずは睡眠、運動、食事の基本的な習慣から改善を始めることをお勧めします。必要に応じて専門家のサポートを受けることも検討してください。
5,ウェルネス,10,14,ウェルネス状態が心配な状況です。健康管理全般において大きな改善が必要です。生活習慣病のリスクが高い可能性があります。医師や健康専門家に相談し、包括的な健康改善プランを立てることを強くお勧めします。今すぐ行動を起こして、健康的な生活への第一歩を踏み出しましょう。
